"KIS_ID","Chromosome","Start_position","End_position","UMAG_ID","Description","Gene_type","Prot_ID"
"KIS66831","USMA_521_v2_16",34,2578,"UMAG_05621","hypothetical protein","Hypothetical","12200"
"KIS66832","USMA_521_v2_16",4371,5366,"UMAG_12015","hypothetical protein","Hypothetical","12201"
"KIS66833","USMA_521_v2_16",5640,6050,"UMAG_12016","hypothetical protein","Hypothetical","12202"
"KIS66834","USMA_521_v2_16",7629,9082,"UMAG_12017","hypothetical protein","Hypothetical","12203"
"KIS66835","USMA_521_v2_16",9690,12623,"UMAG_05624","hypothetical protein","Hypothetical","12204"
"KIS66836","USMA_521_v2_16",12778,13454,"UMAG_05625","hypothetical protein","Hypothetical","12205"
"KIS66837","USMA_521_v2_16",13918,14796,"UMAG_05626","hypothetical protein","Hypothetical","12206"
"KIS66838","USMA_521_v2_16",15414,16178,"UMAG_05627","hypothetical protein","Hypothetical","12207"
"KIS66839","USMA_521_v2_16",16553,17338,"UMAG_05628","hypothetical protein","Hypothetical","12208"
"KIS66840","USMA_521_v2_16",18009,20078,"UMAG_05629","hypothetical protein","Hypothetical","12209"
"KIS66841","USMA_521_v2_16",20433,21851,"UMAG_12018","hypothetical protein","Hypothetical","12210"
"KIS66842","USMA_521_v2_16",21952,27464,"UMAG_12019","hypothetical protein","Hypothetical","12392"
"KIS66843","USMA_521_v2_16",27611,31792,"UMAG_05631","hypothetical protein","Hypothetical","12212"
"KIS66844","USMA_521_v2_16",32938,33564,"UMAG_05632","putative iron-Sulfur cluster nifU-like protein","Putative","12213"
"KIS66845","USMA_521_v2_16",36168,37523,"UMAG_05633","hypothetical protein","Hypothetical","12214"
"KIS66846","USMA_521_v2_16",41489,43114,"UMAG_15021","hypothetical protein","Hypothetical","12215"
"KIS66847","USMA_521_v2_16",44840,47338,"UMAG_05635","hypothetical protein","Hypothetical","12216"
"KIS66848","USMA_521_v2_16",48326,50026,"UMAG_05636","hypothetical protein","Hypothetical","12217"
"KIS66849","USMA_521_v2_16",52106,55174,"UMAG_10718","chitin synthase 1","Annotated","12218"
"KIS66850","USMA_521_v2_16",56062,57180,"UMAG_10719","hypothetical protein","Hypothetical","12219"
"KIS66851","USMA_521_v2_16",57380,62341,"UMAG_10720","hypothetical protein","Hypothetical","12220"
"KIS66852","USMA_521_v2_16",63518,64324,"UMAG_05640","putative coatomer complex zeta chain","Putative","12221"
"KIS66853","USMA_521_v2_16",64939,66147,"UMAG_05641","hypothetical protein","Hypothetical","12222"
"KIS66854","USMA_521_v2_16",66613,71016,"UMAG_05642","putative ABC transporter involved in multidrug resistance","Putative","12223"
"KIS66855","USMA_521_v2_16",72328,74973,"UMAG_10721","hypothetical protein","Hypothetical","12224"
"KIS66856","USMA_521_v2_16",75472,77574,"UMAG_10722","hypothetical protein","Hypothetical","12225"
"KIS66857","USMA_521_v2_16",78023,78738,"UMAG_12311","hypothetical protein","Hypothetical","12226"
